 	фоновый		фо'новый	 
 	фонограмма		фоногра'мма	 
 	фонограф		фоно'графъ	 
 	фонолог		фоно'логъ	 
 	фонология		фоноло'гія	 
 	фонометр		фоно'метръ (инструме'нтъ для измѣре'нія си'лы зву'ка)	 
 	фонометрия		фонометрі'я	 
 	фонотека		фоноте'ка	 
 	фонтан		фонта'нъ, въ фонта'нѣ	 
 	Фонтенебло		Фонтене'бло	 
 	Фонтенель		Фонтене'ль	 
 	Фонтенуа		Фонтенуа'	 
 	Форбс		Фо'рбесъ	 
 	фордевинд		фордеви'ндъ	 
 	фордек		форде'къ (подыма'емый ко'жаный верхъ у экипа'жей)	 
 	форейтор		форе'йторъ (человѣ'къ, сидя'щій на пере'дней ло'шади, при запря'жкѣ цу'гомъ, и управля'ющій пе'рвой па'рой лошаде'й)	 
 	форель		форе'ль	 
 	форзац		форза'цъ, на форза'цѣ, форза'цемъ, форза'цевъ	 
 	форзейль		форзе'йль (дозо'рное су'дно, плыву'щее впереди' морско'й эска'дры )	 
 	форма		фо'рма, въ фо'рмѣ	 
 	формалистический		формалисти'ческій	 
 	формация		форма'ція	 
 	форме		въ фо'рмѣ	 
 	форменка		фо'рменка	 
 	форменно		фо'рменно	 
 	форменного		фо'рменнаго	 
 	форменное		фо'рменное	 
 	форменные		фо'рменные (м. р.), фо'рменныя (ж. р. и ср. р.)	 
 	форменный		фо'рменный, фо'рменнаго	 
 	формула		фо'рмула	 
 	формуляр		формуля'ръ	 
 	форс		фо'рсъ (щегольство', ва'жничанье)	 
 	фортепиано		фортепіа'но	 
 	Форстер		Фо'рстеръ	 
 	фортель		фо'ртель (ло'вкій посту'покъ, ча'сто осно'ванный на обма'нѣ и преслѣ'дующій неблагови'дныя цѣ'ли)	 
 	фортификация		фортифика'ція	 
 	форточка		фо'рточка	 
 	фортуна		форту'на	 
 	форум		фо'румъ, на фо'румѣ	 
 	форшмак		форшма'къ (горя'чая заку'ска изъ ру'бленаго мя'са съ ра'зными при'мѣсями)	 
 	форштевень		форште'вень	 
 	фосфор		фо'сфоръ	 
 	фосфоресценция		фосфоресце'нція	 
 	Фотий		Фо'тій	 
 	фотоаппарат		фотоаппара'тъ, въ фотоаппара'тѣ	 
 	фотогеничен		фотогени'ченъ, фотогени'чный	 
 	фотограф		фото'графъ, о фото'графѣ	 
 	фотографируем		фотографи'руемъ	 
 	фотографические		фотографи'ческіе (м. р.), фотографи'ческія (ж. р. и ср. р.)	 
 	фотографический		фотографи'ческій	 
 	фотография		фотогра'фія, на фотогра'фіи	 
 	фотокамера		фотока'мера, въ фотока'мерѣ	 
 	фотокарточка		фотока'рточка, на фотока'рточкѣ	 
 	фотопортрет		фотопортре'тъ, на фотопортре'тѣ	 
 	фотосъёмка		фотосъёмка, на фотосъёмкѣ	 
